len,world,iter,time,tag,out_len
1000000000,128,0,636.8215084075928,a=mapred_hash u=1e-05,10000
1000000000,128,1,620.8772659301758,a=mapred_hash u=1e-05,10000
1000000000,128,2,486.1133098602295,a=mapred_hash u=1e-05,10000
1000000000,128,3,509.06848907470703,a=mapred_hash u=1e-05,10000
1000000000,128,4,518.98193359375,a=mapred_hash u=1e-05,10000
1000000000,256,0,507.71141052246094,a=mapred_hash u=1e-05,10000
1000000000,256,1,438.0528926849365,a=mapred_hash u=1e-05,10000
1000000000,256,2,389.60838317871094,a=mapred_hash u=1e-05,10000
1000000000,256,3,418.6434745788574,a=mapred_hash u=1e-05,10000
1000000000,256,4,416.2592887878418,a=mapred_hash u=1e-05,10000
1000000000,512,0,1886.8212699890137,a=mapred_hash u=1e-05,10000
1000000000,512,1,2015.5436992645264,a=mapred_hash u=1e-05,10000
1000000000,512,2,2247.0858097076416,a=mapred_hash u=1e-05,10000
1000000000,512,3,1987.022876739502,a=mapred_hash u=1e-05,10000
1000000000,512,4,2201.8041610717773,a=mapred_hash u=1e-05,10000
1000000000,1,0,42874.85432624817,a=hash u=1e-05,10000
1000000000,1,1,42916.93878173828,a=hash u=1e-05,10000
1000000000,1,2,42906.169176101685,a=hash u=1e-05,10000
1000000000,1,3,42896.26049995422,a=hash u=1e-05,10000
1000000000,1,4,42907.809257507324,a=hash u=1e-05,10000
1000000000,2,0,36065.31572341919,a=hash u=1e-05,10000
1000000000,2,1,45996.487855911255,a=hash u=1e-05,10000
1000000000,2,2,47441.351652145386,a=hash u=1e-05,10000
1000000000,2,3,49534.73234176636,a=hash u=1e-05,10000
1000000000,2,4,51267.44270324707,a=hash u=1e-05,10000
1000000000,4,0,17249.496936798096,a=hash u=1e-05,10000
1000000000,4,1,20228.338956832886,a=hash u=1e-05,10000
1000000000,4,2,23133.84985923767,a=hash u=1e-05,10000
1000000000,4,3,23465.68512916565,a=hash u=1e-05,10000
1000000000,4,4,23757.476568222046,a=hash u=1e-05,10000
1000000000,8,0,8583.775997161865,a=hash u=1e-05,10000
1000000000,8,1,10150.063276290894,a=hash u=1e-05,10000
1000000000,8,2,10626.65343284607,a=hash u=1e-05,10000
1000000000,8,3,11417.17505455017,a=hash u=1e-05,10000
1000000000,8,4,11894.549131393433,a=hash u=1e-05,10000
1000000000,16,0,4696.227073669434,a=hash u=1e-05,10000
1000000000,16,1,5283.539295196533,a=hash u=1e-05,10000
1000000000,16,2,6161.8664264678955,a=hash u=1e-05,10000
1000000000,16,3,6221.920728683472,a=hash u=1e-05,10000
1000000000,16,4,6280.830144882202,a=hash u=1e-05,10000
1000000000,32,0,2898.043394088745,a=hash u=1e-05,10000
1000000000,32,1,3253.406286239624,a=hash u=1e-05,10000
1000000000,32,2,3556.154727935791,a=hash u=1e-05,10000
1000000000,32,3,3443.134069442749,a=hash u=1e-05,10000
1000000000,32,4,3657.0229530334473,a=hash u=1e-05,10000
1000000000,64,0,2124.7501373291016,a=hash u=1e-05,10000
1000000000,64,1,2265.2933597564697,a=hash u=1e-05,10000
1000000000,64,2,2408.1637859344482,a=hash u=1e-05,10000
1000000000,64,3,2357.66863822937,a=hash u=1e-05,10000
1000000000,64,4,2365.617275238037,a=hash u=1e-05,10000
1000000000,128,0,1573.512077331543,a=hash u=1e-05,10000
1000000000,128,1,1614.656925201416,a=hash u=1e-05,10000
1000000000,128,2,1738.1463050842285,a=hash u=1e-05,10000
1000000000,128,3,1673.3660697937012,a=hash u=1e-05,10000
