len,world,iter,time,tag,out_len
100000000,16,0,2292.25754737854,a=sort u=0.9,111110393
100000000,16,1,2225.043535232544,a=sort u=0.9,111110393
100000000,16,2,2297.6365089416504,a=sort u=0.9,111110393
100000000,16,3,2409.1999530792236,a=sort u=0.9,111110393
100000000,32,0,1374.8204708099365,a=sort u=0.9,111095080
100000000,32,1,1179.1505813598633,a=sort u=0.9,111095080
100000000,32,2,1232.3052883148193,a=sort u=0.9,111095080
100000000,32,3,1196.1560249328613,a=sort u=0.9,111095080
100000000,64,0,1039.0734672546387,a=sort u=0.9,111120803
100000000,64,1,895.7817554473877,a=sort u=0.9,111120803
100000000,64,2,949.1462707519531,a=sort u=0.9,111120803
100000000,64,3,945.2228546142578,a=sort u=0.9,111120803
100000000,128,0,774.266242980957,a=sort u=0.9,111103557
100000000,128,1,796.1325645446777,a=sort u=0.9,111103557
100000000,128,2,888.375997543335,a=sort u=0.9,111103557
100000000,128,3,877.3219585418701,a=sort u=0.9,111103557
100000000,256,0,841.5553569793701,a=sort u=0.9,111118955
100000000,256,1,965.9512042999268,a=sort u=0.9,111118955
100000000,256,2,1019.2782878875732,a=sort u=0.9,111118955
100000000,256,3,792.0756340026855,a=sort u=0.9,111118955
100000000,512,0,1225.470781326294,a=sort u=0.9,111120064
100000000,512,1,1371.3099956512451,a=sort u=0.9,111120064
100000000,512,2,1218.022108078003,a=sort u=0.9,111120064
100000000,512,3,1257.8604221343994,a=sort u=0.9,111120064
100000000,1,0,73207.0562839508,a=hash u=0.9,111109041
100000000,1,1,85833.97483825684,a=hash u=0.9,111109041
100000000,1,2,85861.5369796753,a=hash u=0.9,111109041
100000000,1,3,85950.76608657837,a=hash u=0.9,111109041
100000000,2,0,38215.65556526184,a=hash u=0.9,111113578
100000000,2,1,45470.72696685791,a=hash u=0.9,111113578
100000000,2,2,46031.739711761475,a=hash u=0.9,111113578
100000000,2,3,45762.388467788696,a=hash u=0.9,111113578
100000000,4,0,20565.40822982788,a=hash u=0.9,111106633
100000000,4,1,21886.62600517273,a=hash u=0.9,111106633
100000000,4,2,21387.53056526184,a=hash u=0.9,111106633
100000000,4,3,21742.440462112427,a=hash u=0.9,111106633
100000000,8,0,9110.932111740112,a=hash u=0.9,111101524
100000000,8,1,10658.956289291382,a=hash u=0.9,111101524
100000000,8,2,10400.953769683838,a=hash u=0.9,111101524
100000000,8,3,10584.929466247559,a=hash u=0.9,111101524
100000000,16,0,4881.7009925842285,a=hash u=0.9,111093597
100000000,16,1,4984.424829483032,a=hash u=0.9,111093597
100000000,16,2,4959.800004959106,a=hash u=0.9,111093597
100000000,16,3,4896.1968421936035,a=hash u=0.9,111093597
100000000,32,0,2625.3459453582764,a=hash u=0.9,111085948
100000000,32,1,2497.7731704711914,a=hash u=0.9,111085948
100000000,32,2,2470.290422439575,a=hash u=0.9,111085948
